現代漢語詞頻統計排序 Word frequency ranking From 1 to 300
No 	Rank 	Word 	Frequency 	Percent 	Cumulation
1 	1 	的(DE) 	284589 	5.829 	5.829
2 	2 	是(SHI) 	83666 	1.714 	7.542
3 	3 	一(Neu) 	58117 	1.190 	8.732
4 	4 	在(P) 	56424 	1.156 	9.888
5 	5 	有(V_2) 	45436 	0.931 	10.819
6 	6 	個(Nf) 	40974 	0.839 	11.658
7 	7 	我(Nh) 	40312 	0.826 	12.483
8 	8 	不(D) 	38872 	0.796 	13.279
9 	9 	了(Di) 	36062 	0.739 	14.018
10 	10 	這(Nep) 	33592 	0.688 	14.706
11 	11 	他(Nh) 	29938 	0.613 	15.319
12 	12 	也(D) 	29520 	0.605 	15.924
13 	13 	就(D) 	29154 	0.597 	16.521
14 	14 	人(Na) 	24159 	0.495 	17.016
15 	15 	都(D) 	20329 	0.416 	17.432
16 	16 	說(VE) 	19332 	0.396 	17.828
17 	17 	而(Cbb) 	18336 	0.376 	18.203
18 	18 	我們(Nh) 	18148 	0.372 	18.575
19 	19 	你(Nh) 	17291 	0.354 	18.929
20 	20 	要(D) 	15891 	0.325 	19.255
21 	21 	之(DE) 	15796 	0.324 	19.578
22 	22 	會(D) 	14003 	0.287 	19.865
23 	23 	對(P) 	13877 	0.284 	20.149
24 	24 	及(Caa) 	13655 	0.280 	20.429
25 	25 	和(Caa) 	13488 	0.276 	20.705
26 	26 	與(Caa) 	13386 	0.274 	20.979
27 	27 	以(P) 	13054 	0.267 	21.247
28 	28 	很(Dfa) 	12988 	0.266 	21.513
29 	29 	種(Nf) 	12229 	0.250 	21.763
30 	30 	中(Ng) 	12162 	0.249 	22.012
31 	31 	的(T) 	11556 	0.237 	22.249
32 	32 	了(T) 	11499 	0.236 	22.484
33 	33 	大(VH) 	11486 	0.235 	22.720
34 	34 	能(D) 	11073 	0.227 	22.946
35 	35 	著(Di) 	11016 	0.226 	23.172
36 	36 	她(Nh) 	10755 	0.220 	23.392
37 	37 	那(Nep) 	10727 	0.220 	23.612
38 	38 	上(Ncd) 	10576 	0.217 	23.829
39 	39 	但(Cbb) 	10175 	0.208 	24.037
40 	40 	年(Nf) 	10054 	0.206 	24.243
41 	41 	還(D) 	9679 	0.198 	24.441
42 	42 	可以(D) 	9641 	0.197 	24.639
43 	43 	時(Ng) 	9496 	0.194 	24.833
44 	44 	最(Dfa) 	9380 	0.192 	25.025
45 	45 	自己(Nh) 	9059 	0.186 	25.211
46 	46 	來(D) 	8952 	0.183 	25.394
